,NOME_CEDENTE,VALOR_PRESENTE
ARC COM+RCIO DE AUTO PE¦AS LTDA,ARC COM+RCIO DE AUTO PE¦AS LTDA,1750595.1000000006
U BOLT IND+STRIA METAL+RGICA EIRELI EPP,U BOLT IND+STRIA METAL+RGICA EIRELI EPP,516847.12000000005
VICKER ACESS+RIOS PARA MOLAS LTDA,VICKER ACESS+RIOS PARA MOLAS LTDA,928511.5599999997
RODAROS INDUSTRIA DE RODAS LTDA,RODAROS INDUSTRIA DE RODAS LTDA,6607103.64
IBERO RODARE IND+STRIA BRASILEIRA EQUIPA,IBERO RODARE IND+STRIA BRASILEIRA EQUIPA,4558455.770000001
Foco Industria de Auto Peças e Comercio EIRELI,Foco Industria de Auto Peças e Comercio EIRELI,629167.4499999997
IBERO IND BRASILEIRA DE EQUIP RODOVIARIO,IBERO IND BRASILEIRA DE EQUIP RODOVIARIO,50893.61000000001
ENGATCAR IND+STRIA DE AUTOPE¦AS LTDA,ENGATCAR IND+STRIA DE AUTOPE¦AS LTDA,97638.69999999998
FONTAINE INTERNACIONAL DO BRASIL S/A,FONTAINE INTERNACIONAL DO BRASIL S/A,11033.02
DELTAMAR ESTAMPARIA DE METAIS INDUSTRIA,DELTAMAR ESTAMPARIA DE METAIS INDUSTRIA,10492.0
