NOME_FUNDO,DOC_FUNDO,DATA_FUNDO,NOME_ORIGINADOR,DOC_ORIGINADOR,COD_ORIGINADOR,NOME_CEDENTE,DOC_CEDENTE,NOME_SACADO,DOC_SACADO,SEU_NUMERO,NU_DOCUMENTO,TIPO_RECEBIVEL,VALOR_NOMINAL,VALOR_PRESENTE,VALOR_AQUISICAO,VALOR_PDD,FAIXA_PDD,DATA_REFERENCIA,DATA_VENCIMENTO_ORIGINAL,DATA_VENCIMENTO_AJUSTADA,DATA_EMISSAO,DATA_AQUISICAO,PRAZO,PRAZO_ATUAL,SITUACAO_RECEBIVEL,TAXA_CESSAO,TX_RECEBIVEL,COOBRIGACAO,CHAVE_NF,NOSSO_NUMERO,Unnamed: 31,Dias_Emissao,Dias_Hoje,sumDias_Hoje,Yield_ini,Yield_hje,sumYield_ini,Yield_hje_PDD,sumYield_PDD,Emissao_Month,Emissao_Year
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,AUTO POSTO SILVA MARTINS DE IPIRA LTDA -,15.659.382/0001-37,240000000000437,31029001,Duplicata,19480.0,19421.46,19304.92,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2020-02-22,2020-02-26,3,1,A vencer,1.1348498,1.13481128,Sim,29200205315244000187550010000310291900523922,005700000030,,4,-1,-19421.46,0.7661175948019727,-0.5316005415990336,-10324.458654643966,-0.5316005415990336,-10324.458654643966,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,AUTO POSTO SILVA MARTINS DE IPIRA LTDA -,15.659.382/0001-37,240000000000438,31039001,Duplicata,19499.5,19416.1,19318.96,0.0,AA,2020-02-28,2020-03-02,2020-03-02,2020-02-24,2020-02-27,2,1,A vencer,1.9449061,2.22854062,Sim,29200205315244000187550010000310391900524070,005800000011,,4,-1,-19416.1,0.7968140200832288,-0.6604465014684614,-12823.295317161792,-0.6604465014684614,-12823.295317161792,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,AUTO POSTO SILVA MARTINS DE IPIRA LTDA -,15.659.382/0001-37,240000000000439,31040001,Duplicata,19499.5,19416.1,19318.95,0.0,AA,2020-02-28,2020-03-02,2020-03-02,2020-02-24,2020-02-27,2,1,A vencer,1.9449061,2.2287512,Sim,29200205315244000187550010000310401900524063,00580000002P,,4,-1,-19416.1,0.7968726159695068,-0.6604465014684614,-12823.295317161792,-0.6604465014684614,-12823.295317161792,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,AUTO POSTO SILVA MARTINS DE IPIRA LTDA -,15.659.382/0001-37,240000000000440,31041001,Duplicata,7799.8,7766.44,7727.58,0.0,AA,2020-02-28,2020-03-02,2020-03-02,2020-02-24,2020-02-27,2,1,A vencer,1.9449061,2.2287512,Sim,29200205315244000187550010000310411900524095,005800000038,,4,-1,-7766.44,0.7968726159695068,-0.6604465014684614,-5129.318126864717,-0.6604465014684614,-5129.318126864717,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,AUTO POSTO SILVA MARTINS DE IPIRA LTDA -,15.659.382/0001-37,240000000000441,31042001,Duplicata,19495.0,19411.62,19314.49,0.0,AA,2020-02-28,2020-03-02,2020-03-02,2020-02-24,2020-02-27,2,1,A vencer,1.9449061,2.2287863,Sim,29200205315244000187550010000310421900524084,005800000046,,4,-1,-19411.62,0.7968823831412055,-0.6604431806325207,-12820.27205402985,-0.6604431806325207,-12820.27205402985,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,G A MENDES COMERCIO DE COMBUSTIVEIS LTDA,09.660.910/0001-75,240000000000448,31054001,Duplicata,57900.0,57620.65,57428.24,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2020-02-27,2020-02-28,1,1,A vencer,2.38308163,6.85905583,Sim,29200205315244000187550010000310541900524395,005900000043,,3,-1,-57620.65,0.9881849931283453,-0.7044053809598575,-40588.29591440461,-0.7044053809598575,-40588.29591440461,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,L.M.S. COMERCIO DE COMBUSTIVEIS LTDA - E,13.622.287/0001-33,240000000000432,31022001,Duplicata,11699.7,11664.54,11594.54,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2020-02-22,2020-02-26,3,1,A vencer,1.1348498,1.13491714,Sim,29200205315244000187550010000310221900523840,005700000065,,4,-1,-11664.54,0.766183274927309,-0.5316090410874961,-6200.974924126742,-0.5316090410874961,-6200.974924126742,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,L.M.S. COMERCIO DE COMBUSTIVEIS LTDA - E,13.622.287/0001-33,240000000000433,31023001,Duplicata,6278.0,6259.13,6221.57,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2020-02-22,2020-02-26,3,1,A vencer,1.1348498,1.13496541,Sim,29200205315244000187550010000310231900523872,005700000073,,4,-1,-6259.13,0.7662132225137936,-0.5316716711455922,-3327.8021070175105,-0.5316716711455922,-3327.8021070175105,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,L.M.S. COMERCIO DE COMBUSTIVEIS LTDA - E,13.622.287/0001-33,240000000000434,31024001,Duplicata,6278.0,6259.13,6221.57,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2020-02-22,2020-02-26,3,1,A vencer,1.1348498,1.13496541,Sim,29200205315244000187550010000310241900523861,005700000081,,4,-1,-6259.13,0.7662132225137936,-0.5316716711455922,-3327.8021070175105,-0.5316716711455922,-3327.8021070175105,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,L.M.S. COMERCIO DE COMBUSTIVEIS LTDA - E,13.622.287/0001-33,240000000000436,31026001,Duplicata,7799.8,7776.36,7729.7,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2020-02-22,2020-02-26,3,1,A vencer,1.1348498,1.13476247,Sim,29200205315244000187550010000310261900523858,00570000009P,,4,-1,-7776.36,0.766087310382431,-0.5316090410874961,-4133.983282751161,-0.5316090410874961,-4133.983282751161,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,POSTO DE COMBUSTIVEL GARCA LTDA,12.904.004/0001-83,240000000000429,31018001,Duplicata,11699.7,11664.54,11594.55,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2020-02-22,2020-02-26,3,1,A vencer,1.1348498,1.13476247,Sim,29200205315244000187550010000310181900523813,005700000022,,4,-1,-11664.54,0.766087310382431,-0.5316090410874961,-6200.974924126742,-0.5316090410874961,-6200.974924126742,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,POSTO MANDACARU LTDA,05.379.683/0001-53,240000000000431,31021001,Duplicata,11699.7,11664.54,11594.54,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2020-02-22,2020-02-26,3,1,A vencer,1.1348498,1.13491714,Sim,29200205315244000187550010000310211900523886,005700000049,,4,-1,-11664.54,0.766183274927309,-0.5316090410874961,-6200.974924126742,-0.5316090410874961,-6200.974924126742,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,POSTO MANDACARU LTDA,05.379.683/0001-53,240000000000435,31025001,Duplicata,7799.8,7776.36,7729.7,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2020-02-22,2020-02-26,3,1,A vencer,1.1348498,1.13476247,Sim,29200205315244000187550010000310251900523893,005700000057,,4,-1,-7776.36,0.766087310382431,-0.5316090410874961,-4133.983282751161,-0.5316090410874961,-4133.983282751161,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,POSTO NERI LTDA,23.497.544/0001-06,240000000000430,31020001,Duplicata,19499.5,19440.9,19324.24,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2020-02-22,2020-02-26,3,1,A vencer,1.1348498,1.13485527,Sim,29200205315244000187550010000310201900523820,005700000014,,4,-1,-19440.9,0.766144888473699,-0.5316090410874699,-10334.958206877394,-0.5316090410874699,-10334.958206877394,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,R P ATADEMO CIA LTDA,17.528.652/0001-04,240000000000144,900026,Cheque,70000.0,69869.83,65314.6,349.35,A,2020-02-28,2020-02-29,2020-02-29,2020-01-07,2020-01-07,37,1,A vencer,0.59844352,0.60295784,Sim,,,,38,-1,-69869.83,0.583176782843386,-0.37440260242858703,-26159.446183242962,-0.8231072867987812,-57510.36620039209,1,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DAX OIL REFINO S/A,04.585.532/0001-99,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,160000000000264,42943,Duplicata,131871.34,131700.04,128320.46,658.5,A,2020-02-28,2020-03-02,2020-03-02,2020-01-24,2020-01-29,21,1,A vencer,0.38756756,0.38756756,Sim,29200104585532000199550010000429431557746042,00290000001P,,25,-1,-131700.04,0.3167201314961188,-0.27931932446198915,-36786.366204416954,-0.7962210163215717,-104862.33969839166,1,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DAX OIL REFINO S/A,04.585.532/0001-99,PETRODANSK INDUSTRIA E COMERCIO DE HIDRO,14.547.557/0001-51,160000000000259,42917,Duplicata,113800.0,113661.96,110816.05,0.0,AA,2020-02-28,2020-03-02,2020-03-02,2020-01-21,2020-01-29,21,1,A vencer,0.35780912,0.37554612,Sim,29200104585532000199550010000429171429028309,002900000060,,28,-1,-113661.96,0.2701539587248247,-0.26351239499343004,-29951.335299247447,-0.26351239499343004,-29951.335299247447,1,2020
