NOME_FUNDO,DOC_FUNDO,DATA_FUNDO,NOME_ORIGINADOR,DOC_ORIGINADOR,COD_ORIGINADOR,NOME_CEDENTE,DOC_CEDENTE,NOME_SACADO,DOC_SACADO,SEU_NUMERO,NU_DOCUMENTO,TIPO_RECEBIVEL,VALOR_NOMINAL,VALOR_PRESENTE,VALOR_AQUISICAO,VALOR_PDD,FAIXA_PDD,DATA_REFERENCIA,DATA_VENCIMENTO_ORIGINAL,DATA_VENCIMENTO_AJUSTADA,DATA_EMISSAO,DATA_AQUISICAO,PRAZO,PRAZO_ATUAL,SITUACAO_RECEBIVEL,TAXA_CESSAO,TX_RECEBIVEL,COOBRIGACAO,CHAVE_NF,NOSSO_NUMERO,Unnamed: 31,Dias_Emissao,Dias_Hoje,sumDias_Hoje,Yield_ini,Yield_hje,sumYield_ini,Yield_hje_PDD,sumYield_PDD,Emissao_Month,Emissao_Year
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,AUTO POSTO SILVA MARTINS DE IPIRA LTDA -,15.659.382/0001-37,240000000000437,31029001,Duplicata,19480.0,19421.46,19304.92,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2020-02-22,2020-02-26,3,1,A vencer,1.1348498,1.13481128,Sim,29200205315244000187550010000310291900523922,005700000030,,4,-1,-19421.46,0.7661175948019727,-0.5316005415990336,-10324.458654643966,-0.5316005415990336,-10324.458654643966,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,AUTO POSTO SILVA MARTINS DE IPIRA LTDA -,15.659.382/0001-37,240000000000438,31039001,Duplicata,19499.5,19416.1,19318.96,0.0,AA,2020-02-28,2020-03-02,2020-03-02,2020-02-24,2020-02-27,2,1,A vencer,1.9449061,2.22854062,Sim,29200205315244000187550010000310391900524070,005800000011,,4,-1,-19416.1,0.7968140200832288,-0.6604465014684614,-12823.295317161792,-0.6604465014684614,-12823.295317161792,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,AUTO POSTO SILVA MARTINS DE IPIRA LTDA -,15.659.382/0001-37,240000000000439,31040001,Duplicata,19499.5,19416.1,19318.95,0.0,AA,2020-02-28,2020-03-02,2020-03-02,2020-02-24,2020-02-27,2,1,A vencer,1.9449061,2.2287512,Sim,29200205315244000187550010000310401900524063,00580000002P,,4,-1,-19416.1,0.7968726159695068,-0.6604465014684614,-12823.295317161792,-0.6604465014684614,-12823.295317161792,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,AUTO POSTO SILVA MARTINS DE IPIRA LTDA -,15.659.382/0001-37,240000000000440,31041001,Duplicata,7799.8,7766.44,7727.58,0.0,AA,2020-02-28,2020-03-02,2020-03-02,2020-02-24,2020-02-27,2,1,A vencer,1.9449061,2.2287512,Sim,29200205315244000187550010000310411900524095,005800000038,,4,-1,-7766.44,0.7968726159695068,-0.6604465014684614,-5129.318126864717,-0.6604465014684614,-5129.318126864717,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,AUTO POSTO SILVA MARTINS DE IPIRA LTDA -,15.659.382/0001-37,240000000000441,31042001,Duplicata,19495.0,19411.62,19314.49,0.0,AA,2020-02-28,2020-03-02,2020-03-02,2020-02-24,2020-02-27,2,1,A vencer,1.9449061,2.2287863,Sim,29200205315244000187550010000310421900524084,005800000046,,4,-1,-19411.62,0.7968823831412055,-0.6604431806325207,-12820.27205402985,-0.6604431806325207,-12820.27205402985,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,AUTO POSTO SILVA MARTINS DE IPIRA LTDA -,15.659.382/0001-37,240000000000442,31045001,Duplicata,9419.7,9299.36,9307.56,0.0,AA,2020-02-28,2020-03-04,2020-03-04,2020-02-26,2020-02-27,4,3,A vencer,1.9449061,1.12655834,Sim,29200205315244000187550010000310451900524140,005800000054,,6,1,9299.36,0.6536802309189162,24.537051838652882,228178.87838629508,24.537051838652882,228178.87838629508,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,CELENE CRISTINA CURIMBABA,106.544.348-08,240000000000240,41,Cheque,8220.0,7871.3,7505.11,0.0,AA,2020-02-28,2020-03-28,2020-03-28,2020-01-23,2020-01-23,45,21,A vencer,0.68230185,0.66449552,Sim,,,,46,19,149554.7,0.6461603593178842,0.776984430447951,6115.877547384956,0.776984430447951,6115.877547384956,1,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,CELENE CRISTINA CURIMBABA,106.544.348-08,240000000000239,42,Cheque,8220.0,7568.57,7188.52,0.0,AA,2020-02-28,2020-04-28,2020-04-28,2020-01-23,2020-01-23,64,40,A vencer,0.68230185,0.69546882,Sim,,,,65,38,287605.66,0.6817532374331421,0.7290002743153401,5517.489606174853,0.7290002743153401,5517.489606174853,1,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,G A MENDES COMERCIO DE COMBUSTIVEIS LTDA,09.660.910/0001-75,240000000000448,31054001,Duplicata,57900.0,57620.65,57428.24,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2020-02-27,2020-02-28,1,1,A vencer,2.38308163,6.85905583,Sim,29200205315244000187550010000310541900524395,005900000043,,3,-1,-57620.65,0.9881849931283453,-0.7044053809598575,-40588.29591440461,-0.7044053809598575,-40588.29591440461,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,G. D. DE MACEDO E CIA. LTDA,07.213.329/0001-80,240000000000449,31058001,Duplicata,19378.5,19191.96,19194.29,0.0,AA,2020-02-28,2020-03-03,2020-03-03,2020-02-27,2020-02-28,2,2,A vencer,2.38308163,2.33166442,Sim,29200205315244000187550010000310581900524599,005900000035,,4,0,0.0,0.8252847501825051,inf,inf,inf,inf,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,G.L.M. LOCACAO E COMERCIO DE VEICULOS EI,29.782.151/0001-20,240000000000398,54,Cheque,49980.0,46736.79,46261.14,0.0,AA,2020-02-28,2020-04-17,2020-04-17,2020-02-18,2020-02-18,40,34,A vencer,0.64421889,0.62762182,Sim,,,,41,32,1495577.28,0.6083985057653665,0.696120869148062,32534.454875990454,0.696120869148062,32534.454875990454,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,G.L.M. LOCACAO E COMERCIO DE VEICULOS EI,29.782.151/0001-20,240000000000399,55,Cheque,49980.0,46369.34,45841.27,0.0,AA,2020-02-28,2020-04-24,2020-04-24,2020-02-18,2020-02-18,44,38,A vencer,0.64421889,0.64058822,Sim,,,,45,36,1669296.2399999998,0.6226386664184611,0.6902749755350863,32007.5950340781,0.6902749755350863,32007.5950340781,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,G.L.M. LOCACAO E COMERCIO DE VEICULOS EI,29.782.151/0001-20,240000000000400,56,Cheque,49980.0,45914.09,45421.4,0.0,AA,2020-02-28,2020-05-01,2020-05-01,2020-02-18,2020-02-18,49,43,A vencer,0.64421889,0.63535617,Sim,,,,50,41,1882477.69,0.6193476962560187,0.6845904958793647,31432.34964094978,0.6845904958793647,31432.34964094978,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,G.L.M. LOCACAO E COMERCIO DE VEICULOS EI,29.782.151/0001-20,240000000000401,57,Cheque,49980.0,45553.11,45001.53,0.0,AA,2020-02-28,2020-05-08,2020-05-08,2020-02-18,2020-02-18,53,47,A vencer,0.64421889,0.64690128,Sim,,,,54,45,2049889.95,0.6317559457831474,0.6809625125772267,31019.96024130679,0.6809625125772267,31019.96024130679,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,G.L.M. LOCACAO E COMERCIO DE VEICULOS EI,29.782.151/0001-20,240000000000402,58,Cheque,49980.0,45105.88,44581.66,0.0,AA,2020-02-28,2020-05-15,2020-05-15,2020-02-18,2020-02-18,58,52,A vencer,0.64421889,0.64315038,Sim,,,,59,50,2255294.0,0.6293776875087327,0.6772506998147136,30547.988795758494,0.6772506998147136,30547.988795758494,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,G.L.M. LOCACAO E COMERCIO DE VEICULOS EI,29.782.151/0001-20,240000000000403,59,Cheque,49980.0,44663.04,44161.78,0.0,AA,2020-02-28,2020-05-22,2020-05-22,2020-02-18,2020-02-18,63,57,A vencer,0.64421889,0.64058497,Sim,,,,64,55,2456467.2,0.627943666508225,0.674219996979061,30112.71469387568,0.674219996979061,30112.71469387568,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,L.M.S. COMERCIO DE COMBUSTIVEIS LTDA - E,13.622.287/0001-33,240000000000432,31022001,Duplicata,11699.7,11664.54,11594.54,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2020-02-22,2020-02-26,3,1,A vencer,1.1348498,1.13491714,Sim,29200205315244000187550010000310221900523840,005700000065,,4,-1,-11664.54,0.766183274927309,-0.5316090410874961,-6200.974924126742,-0.5316090410874961,-6200.974924126742,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,L.M.S. COMERCIO DE COMBUSTIVEIS LTDA - E,13.622.287/0001-33,240000000000433,31023001,Duplicata,6278.0,6259.13,6221.57,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2020-02-22,2020-02-26,3,1,A vencer,1.1348498,1.13496541,Sim,29200205315244000187550010000310231900523872,005700000073,,4,-1,-6259.13,0.7662132225137936,-0.5316716711455922,-3327.8021070175105,-0.5316716711455922,-3327.8021070175105,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,L.M.S. COMERCIO DE COMBUSTIVEIS LTDA - E,13.622.287/0001-33,240000000000434,31024001,Duplicata,6278.0,6259.13,6221.57,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2020-02-22,2020-02-26,3,1,A vencer,1.1348498,1.13496541,Sim,29200205315244000187550010000310241900523861,005700000081,,4,-1,-6259.13,0.7662132225137936,-0.5316716711455922,-3327.8021070175105,-0.5316716711455922,-3327.8021070175105,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,L.M.S. COMERCIO DE COMBUSTIVEIS LTDA - E,13.622.287/0001-33,240000000000436,31026001,Duplicata,7799.8,7776.36,7729.7,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2020-02-22,2020-02-26,3,1,A vencer,1.1348498,1.13476247,Sim,29200205315244000187550010000310261900523858,00570000009P,,4,-1,-7776.36,0.766087310382431,-0.5316090410874961,-4133.983282751161,-0.5316090410874961,-4133.983282751161,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,OTHON PALMEIRAS E CIA LTDA,14.795.249/0001-45,240000000000447,31051001,Duplicata,15695.0,15394.29,15503.18,0.0,AA,2020-02-28,2020-03-05,2020-03-05,2020-02-27,2020-02-28,4,4,A vencer,2.38308163,1.16996849,Sim,29200205315244000187550010000310511900524369,005900000027,,6,2,30788.58,0.6761091028145783,10.444813239572158,160790.48400581328,10.444813239572158,160790.48400581328,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,POSTO DE COMBUSTIVEL GARCA LTDA,12.904.004/0001-83,240000000000429,31018001,Duplicata,11699.7,11664.54,11594.55,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2020-02-22,2020-02-26,3,1,A vencer,1.1348498,1.13476247,Sim,29200205315244000187550010000310181900523813,005700000022,,4,-1,-11664.54,0.766087310382431,-0.5316090410874961,-6200.974924126742,-0.5316090410874961,-6200.974924126742,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,POSTO DO TONINHO LTDA,03.659.293/0001-01,240000000000446,31049001,Duplicata,11698.8,11474.65,11555.83,0.0,AA,2020-02-28,2020-03-05,2020-03-05,2020-02-27,2020-02-28,4,4,A vencer,2.38308163,1.16985568,Sim,29200205315244000187550010000310491900524344,005900000019,,6,2,22949.3,0.6760510123411498,10.445518707920977,119858.67124184543,10.445518707920977,119858.67124184543,2,2020
ZEUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,34.691.362/0001-98,2020-03-04,ID GESTORA DE RECURSOS LTDA,21.046.086/0001-63,4321,DANPETRO DISTRIBUIDORA DE PETROLEO S/A,05.315.244/0001-87,POSTO MANDACARU LTDA,05.379.683/0001-53,240000000000431,31021001,Duplicata,11699.7,11664.54,11594.54,0.0,AA,2020-02-28,2020-02-29,2020-02-29,2020-02-22,2020-02-26,3,1,A vencer,1.1348498,1.13491714,Sim,29200205315244000187550010000310211900523886,005700000049,,4,-1,-11664.54,0.766183274927309,-0.5316090410874961,-6200.974924126742,-0.5316090410874961,-6200.974924126742,2,2020
